outside-aqi,inside-aqi,time
15,26,Mon Feb 19 15:35:28 2024
16,47,Mon Feb 19 15:35:29 2024
44,19,Mon Feb 19 15:35:30 2024
20,48,Mon Feb 19 15:35:31 2024
15,21,Mon Feb 19 15:35:32 2024
30,30,Mon Feb 19 15:35:33 2024
18,42,Mon Feb 19 15:35:34 2024
39,16,Mon Feb 19 15:35:35 2024
35,43,Mon Feb 19 15:35:36 2024
29,25,Mon Feb 19 15:35:37 2024
29,28,Mon Feb 19 15:42:32 2024
19,32,Mon Feb 19 15:42:33 2024
16,33,Mon Feb 19 15:42:34 2024
30,16,Mon Feb 19 15:42:35 2024
48,29,Mon Feb 19 15:42:36 2024
16,43,Mon Feb 19 15:42:37 2024
31,20,Mon Feb 19 15:42:38 2024
17,36,Mon Feb 19 15:42:39 2024
44,39,Mon Feb 19 15:42:40 2024
49,47,Mon Feb 19 15:42:41 2024
26,23,Mon Feb 19 15:44:11 2024
33,23,Mon Feb 19 15:44:12 2024
20,46,Mon Feb 19 15:44:13 2024
26,37,Mon Feb 19 15:44:14 2024
41,34,Mon Feb 19 15:44:15 2024
45,24,Mon Feb 19 15:44:16 2024
49,30,Mon Feb 19 15:44:17 2024
39,47,Mon Feb 19 15:44:18 2024
22,32,Mon Feb 19 15:44:19 2024
40,20,Mon Feb 19 15:44:20 2024
21,28,Mon Feb 19 16:13:26 2024
33,27,Mon Feb 19 16:13:27 2024
21,44,Mon Feb 19 16:13:28 2024
16,31,Mon Feb 19 16:13:29 2024
20,45,Mon Feb 19 16:13:30 2024
47,31,Mon Feb 19 16:13:31 2024
21,33,Mon Feb 19 16:13:32 2024
27,22,Mon Feb 19 16:13:33 2024
50,48,Mon Feb 19 16:13:34 2024
32,21,Mon Feb 19 16:13:35 2024
27,38,Mon Feb 19 16:17:09 2024
49,30,Mon Feb 19 16:17:10 2024
35,47,Mon Feb 19 16:17:11 2024
25,35,Mon Feb 19 16:17:12 2024
45,35,Mon Feb 19 16:17:13 2024
26,17,Mon Feb 19 16:17:14 2024
50,16,Mon Feb 19 16:17:15 2024
38,22,Mon Feb 19 16:17:16 2024
26,47,Mon Feb 19 16:17:17 2024
35,26,Mon Feb 19 16:17:18 2024
39,15,Mon Feb 19 16:19:13 2024
30,20,Mon Feb 19 16:19:14 2024
19,40,Mon Feb 19 16:19:15 2024
19,16,Mon Feb 19 16:19:16 2024
37,47,Mon Feb 19 16:19:17 2024
36,42,Mon Feb 19 16:19:18 2024
21,46,Mon Feb 19 16:19:19 2024
42,44,Mon Feb 19 16:19:20 2024
25,28,Mon Feb 19 16:19:21 2024
30,35,Mon Feb 19 16:19:22 2024
22,35,Mon Feb 19 16:20:10 2024
17,22,Mon Feb 19 16:20:11 2024
30,16,Mon Feb 19 16:20:12 2024
48,42,Mon Feb 19 16:20:13 2024
37,34,Mon Feb 19 16:20:14 2024
26,20,Mon Feb 19 16:20:15 2024
37,43,Mon Feb 19 16:20:16 2024
44,45,Mon Feb 19 16:20:17 2024
31,41,Mon Feb 19 16:20:18 2024
23,24,Mon Feb 19 16:20:19 2024
16,28,Mon Feb 19 16:20:52 2024
29,34,Mon Feb 19 16:20:53 2024
36,21,Mon Feb 19 16:20:54 2024
17,50,Mon Feb 19 16:20:55 2024
30,37,Mon Feb 19 16:20:56 2024
23,48,Mon Feb 19 16:20:57 2024
29,25,Mon Feb 19 16:20:58 2024
17,35,Mon Feb 19 16:20:59 2024
19,30,Mon Feb 19 16:21:00 2024
18,27,Mon Feb 19 16:21:01 2024
19,27,Mon Feb 19 16:45:07 2024
24,22,Mon Feb 19 16:45:08 2024
19,31,Mon Feb 19 16:45:09 2024
49,16,Mon Feb 19 16:45:10 2024
30,50,Mon Feb 19 16:45:11 2024
41,39,Mon Feb 19 16:45:12 2024
29,20,Mon Feb 19 16:45:13 2024
38,48,Mon Feb 19 16:45:14 2024
46,38,Mon Feb 19 16:45:15 2024
42,18,Mon Feb 19 16:45:16 2024
44,45,Mon Feb 19 16:54:27 2024
28,46,Mon Feb 19 16:54:28 2024
26,43,Mon Feb 19 16:54:29 2024
15,39,Mon Feb 19 16:54:30 2024
16,42,Mon Feb 19 16:54:31 2024
22,29,Mon Feb 19 16:54:32 2024
15,42,Mon Feb 19 16:54:33 2024
48,39,Mon Feb 19 16:54:34 2024
22,17,Mon Feb 19 16:54:35 2024
41,29,Mon Feb 19 16:54:36 2024
